time,true_pos,measurement,inferred_pos,variance
2.86,2.4491552709216102,2.7320553387767563,2.6939107576972887,0.025398451759465056
2.88,2.4203681728964237,2.2623257104283336,2.6488435600727502,0.0245036944420022
2.9,2.3906129276020773,2.294652384717473,2.615095521038533,0.024065823694443197
2.92,2.35990143713669,2.1963672175898354,2.5756149176337955,0.02426286024372571
2.94,2.3282459860964493,2.1958752835996047,2.5391787522973157,0.0251275090690267
2.96,2.29565923666177,2.85301188534344,2.5715333639417346,0.024597789153542906
2.98,2.262154223532425,2.1214688369693273,2.5278768152598907,0.02522722340515126
3.0,2.2277443487136668,2.360882356798266,2.509549894823314,0.025907362207655063
3.02,2.1924433761554245,2.0265325509459005,2.4621258089177314,0.025135711969952592
3.04,2.1562654262467187,2.010133125132022,2.4138952209962046,0.023860347262494256
3.06,2.1192249701675157,2.070537547684384,2.3808137702130168,0.024054003670397332
3.08,2.0813368241002452,2.6120901287424485,2.40301282760113,0.024121078133453214
3.1,2.042616143303334,1.7886703077098172,2.346627155468399,0.023635015745668623
3.12,2.0030784160491018,1.0046584005342432,2.2221705814776658,0.026437916384825025
3.14,1.9627394574284507,1.6532761998066152,2.165288334774674,0.027509420989002248
3.16,1.9216154030248271,1.7436631699200154,2.122398137498629,0.02813102638505483
3.18,1.879722702459994,1.939630347538338,2.108191172166845,0.02669272382548992
3.2,1.8370781128141767,1.3015103205389515,2.0170649317578944,0.03272038681635332
3.22,1.793698691923234,1.2868904459548998,1.923459927868135,0.0360838232223592
3.24,1.7496017915555226,1.365213919833827,1.8520729059060907,0.03546799599097783
3.2600000000000002,1.704805050471189,1.4894551347653802,1.8031181929848465,0.035667331990939306
3.2800000000000002,1.6593263873666657,1.7491996058047365,1.7937266511411456,0.03289650374464606
3.3000000000000003,1.6131839937071977,1.1898391230905072,1.7154882388360568,0.02984107478347134
3.3200000000000003,1.566396326450245,2.276861744905866,1.779227760710474,0.030000658870511072
3.34,1.518982100662713,0.5557358042878674,1.6431383072269108,0.02585350472968761
3.36,1.4709602820349157,1.1823046018456775,1.5956657416479383,0.02252947440907741
3.38,1.422350079294305,0.9551437047233378,1.5388535483938806,0.021544566961047305
3.4,1.373170936521976,0.846544970639493,1.4772436157455742,0.022528960727762604
3.42,1.3234425253750384,1.0662329859686313,1.4457746151550501,0.02384146665687182
3.44,1.2731847372179512,1.185758693117299,1.419100697302013,0.02477197053588127
3.46,1.2224176751659763,1.3852198865669676,1.4147076590301977,0.025014312883585577
3.48,1.1711616460439351,0.47959972564980613,1.3246150150422547,0.023154885247665978
3.5,1.1194371522634765,0.30968684130122137,1.2333875159919838,0.019759042681899146
3.52,1.0672648836221128,1.0795485516122183,1.2176714695106416,0.021428398690355403
3.54,1.0146657090273,1.4755669652204115,1.241859767553981,0.02338625662034569
3.56,0.9616606681488759,-0.007919924512098775,1.1243435615883026,0.021029089087149733
3.58,0.9082709630031925,1.6042413100586943,1.164440005135377,0.023044201928869606
3.6,0.8545179494723081,1.5202224995120301,1.1958581492900384,0.02328519018365595
3.62,0.8004231287616346,0.4957414328661756,1.1326906779990966,0.022301167534606724
3.64,0.7460081387994567,0.8169509391822355,1.1031478770545533,0.022686754643723363
3.66,0.6912947455817585,0.4303376614910774,1.0446260369227103,0.021986835436647752
3.68,0.6363048344658283,1.089673395409605,1.0481401182808434,0.022105726013905952
3.7,0.5810604014161111,-0.16996122386243673,0.9414823173954279,0.020335934493080132
3.72,0.525583544205828,0.8527276860493112,0.933805923091191,0.020375118410333855
3.74,0.46989645357786236,0.3303982307213738,0.8809810131859632,0.02238819712597808
3.7600000000000002,0.4140214043684655,0.31425541559013404,0.8335962705902153,0.021878835487962642
3.7800000000000002,0.35798074659732143,0.4572246056896461,0.8028709100731817,0.022162071904524454
3.8000000000000003,0.30179689652753827,1.0387110518519922,0.8231957541665125,0.020644090140618986
3.8200000000000003,0.24549232769914417,0.5171707827078776,0.7964328075831506,0.02117787529491224
3.84,0.18908956193967044,0.03525861613421405,0.7254243043957961,0.024104694485808636
3.86,0.13261116035542092,-0.05877156557477917,0.6531924180310362,0.027843440047298912
3.88,0.07607971430702888,-0.40862089773923566,0.5348883718202214,0.029947771654919055
3.9,0.019517836372914342,1.024431421891548,0.591717763119524,0.02766344456852087
3.92,-0.03705184869574939,0.7583641539705694,0.6104451660712094,0.026352559735946718
3.94,-0.09360671302493481,-0.6501750270827595,0.4622803162956913,0.02859836111087876
3.96,-0.1501241346689103,-0.4511632029499525,0.36355707207029764,0.02679668337740228
3.98,-0.20658150665901823,-0.05307690060041381,0.31866779559275693,0.025809264644775527
